,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,load_centrality
DMBI,0.4708554125662377,4.7182466662784595e-29,1.5855185234394658e+100,0.006284111383119066,7.253530920419438e-05
ARIZ,0.12566237698713095,4.7182466662784595e-29,1.494559118298989e+86,0.0003955051765364769,0.0007404048644034175
CYSG3,0.004542013626040878,4.7182466662784595e-29,0.0007520336510942864,0.00020257936113659417,5.49070449383336e-06
COBI2,0.003785011355034065,4.7182466662784595e-29,5.161402544632505e-06,0.00014402276801887988,4.89883086293356e-06
THIL,0.023467070401211203,4.7182466662784595e-29,4.0253778112196677e+30,0.0004201170687277259,4.1726874870627905e-06
HYD,0.1339894019682059,4.9069765329295974e-29,0.0,0.0007004032232817252,0.0
THID1,0.02271006813020439,4.7182466662784595e-29,7.566406239468469e+37,0.0003095007653706969,5.287776369330212e-06
THID2,0.02195306585919758,4.7182466662784595e-29,9.230639560726759e-23,0.0003221872942077567,4.209735021013391e-06
MOG,0.013626040878122634,4.9069765329295974e-29,0.0,0.0003419244143521277,0.0
MOAA1,0.11506434519303557,4.7182466662784595e-29,1.200314660262318e+72,0.0004249009447429461,8.942107756104087e-06
THI,0.12566237698713095,4.7182466662784595e-29,1.844131437693463e+69,0.0005094336131549178,3.084419408920324e-06
COBO,0.09992429977289932,4.7182466662784595e-29,3.6858456925235424e+93,0.0009138152085010204,0.0007156430139269751
2PPLA,0.005299015897047691,4.9069765329295974e-29,0.0,0.00018265800574163247,0.0
SAMOX,0.3330809992429977,4.7182466662784595e-29,2.3654586180629605e+100,0.0016314040578398418,0.0008690139368522032
COBL,0.010598031794095382,4.7182466662784595e-29,0.00073062143196869,0.0001726106481469454,0.0007313867208426489
LPPG,0.004542013626040878,4.9069765329295974e-29,0.0003496520700466046,0.00018716240889472054,0.0003644507145642649
MOAE1,0.006056018168054504,4.7182466662784595e-29,0.0,0.0002411573543559275,1.514131179702404e-06
PRE6X,0.1165783497350492,4.7182466662784595e-29,1.400231562673191e+57,0.0005008641272316318,1.4560211999415752e-06
COBQ1,0.16578349735049205,4.7182466662784595e-29,6.567019970297489e+96,0.0008648459403807544,2.3803060198684117e-05
MOBA,0.4473883421650265,4.9069765329295974e-29,0.0,0.0010545400494418379,0.0
MOEA1,0.22255866767600302,4.9069765329295974e-29,0.0,0.0002065166022204572,0.0
FBIC,0.12944738834216502,4.9069765329295974e-29,6.033983873389788e+67,0.0004839966546144582,0.0003644507145642649
BISC,0.32323996971990915,4.7182466662784595e-29,1.2478876609023607e+102,0.0008550916548913474,0.0029079402136147235
HEMT,0.27706283118849356,4.7182466662784595e-29,5.001562328538525e+75,0.0004179939304841382,5.23926767231825e-05
BIOD,0.13701741105223317,4.7182466662784595e-29,2.1733904204731166e+100,0.002152727435488652,4.1819042647450696e-05
BIOA,0.09159727479182438,4.7182466662784595e-29,9.957763130572012e+99,0.0006679806929663633,3.299414000144732e-07
BIOB,0.012112036336109008,4.7182466662784595e-29,19520.560317198433,0.00022444973043811808,8.074005318355017e-06
HEMF2,0.11809235427706283,4.7182466662784595e-29,1.2009894463007641e+72,0.0004180985859311836,1.3247825745478924e-06
MOEB1,0.13474640423921272,4.7182466662784595e-29,3.791252990080005e+74,0.0006310463068299526,0.0014519104933088285
