,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,information_centrality,load_centrality
INHA9,0.23467070401211204,0.5279776179056754,1.904777401283701e-05,0.0007446399250003338,0.019983341806376835,0.006082955015707547,1.882352818010499e-05
KASB1,0.1468584405753217,0.48835489833641405,0.00015585928274545338,0.0005787634972235558,0.008785854613622763,0.005989022663337227,0.00017400321022271504
FAS69,0.14307342922028765,0.4908955778520996,1.616850383862907e-05,0.0005084503467867527,0.012649007377801155,0.005983495115540194,1.6822794899567246e-05
KASB3,0.1461014383043149,0.48637702503681884,0.00011532922891657478,0.000574448509205685,0.008779212739314167,0.0059877573132406485,0.00012297818268243658
KASB2,0.1461014383043149,0.48637702503681884,0.00011532922891657478,0.0005744485100355756,0.008779212474928135,0.005987757313529387,0.00012297818268243658
KASB5,0.1461014383043149,0.48637702503681884,0.00011551288237069988,0.0005744478305519224,0.008779181792003371,0.005987757392353145,0.00012316469420210825
KASB4,0.1461014383043149,0.48637702503681884,0.00011532922891657478,0.0005744485085967743,0.008779213209455254,0.005987757313074427,0.00012297818268243658
KASB7,0.1461014383043149,0.48637702503681884,0.00011567875868069749,0.0005744482301452942,0.008779119954448704,0.005987757439441034,0.00012333411949013034
KASB6,0.1461014383043149,0.48637702503681884,0.0001155132685569416,0.0005744478324143361,0.008779181260940702,0.005987757392740964,0.00012316508038834998
KASB8,0.1461014383043149,0.48637702503681884,0.00011567875868069749,0.0005744482301452942,0.008779119954448703,0.005987757439440969,0.00012333411949013034
FAS62,0.2323996971990916,0.5271348762968875,1.6916128374986265e-05,0.0007386730642946352,0.01972196667355545,0.00608139730439557,1.6709084018755595e-05
FAS63,0.32626797880393643,0.5716140199048031,7.857777268917413e-06,0.0009487615184086526,0.03831893798964725,0.006127978235566856,7.79180110772074e-06
FAS64,0.23467070401211204,0.5279776179056754,1.6977492885817342e-05,0.0007443935373918592,0.019991265401154996,0.006082954113563566,1.6819352289339403e-05
FAS65,0.14383043149129449,0.4910780669144981,1.954393146045813e-05,0.000511070220091614,0.01266393507199638,0.005984813681573139,2.0255613472014587e-05
FAS66,0.14307342922028765,0.4908955778520996,1.621377056171441e-05,0.0005084506645609598,0.01264895431716118,0.005983495176725262,1.6868381378975392e-05
FAS67,0.14307342922028765,0.4908955778520996,1.621377056171441e-05,0.0005084506645609598,0.01264895431716118,0.005983495176725229,1.6868381378975392e-05
FADE324,0.47464042392127176,0.6305489260143198,0.0019729615497645022,0.0014280527557177754,0.045028830007487086,0.006164276475599749,0.0019680269886626646
FABG3,0.2323996971990916,0.5271348762968875,1.6205247796246526e-05,0.0007385510735438177,0.01972571658437792,0.006081398260330886,1.6007664863201496e-05
FABG1,0.2323996971990916,0.5271348762968875,1.3413393444789867e-05,0.000738264758194775,0.019739189630471474,0.006081398357261029,1.3239572795082802e-05
FABG6,0.2323996971990916,0.5271348762968875,1.6204875402370584e-05,0.0007385510690333628,0.019725716458549866,0.006081398260063327,1.6007292469325557e-05
FABG7,0.2323996971990916,0.5271348762968875,1.6204875402370584e-05,0.0007385510697966314,0.01972571633240938,0.0060813982599954575,1.6007292469325557e-05
FABG4,0.2323996971990916,0.5271348762968875,1.6151887778413356e-05,0.0007385504010808689,0.019725946083894132,0.006081398243088317,1.5954364728287574e-05
FABG5,0.2323996971990916,0.5271348762968875,1.6151887778413356e-05,0.0007385503996888148,0.01972594602173319,0.006081398243005564,1.5954364728287574e-05
FABG8,0.2323996971990916,0.5271348762968875,1.620448921612887e-05,0.0007385510714824382,0.019725716207352202,0.006081398259844095,1.6006906283083843e-05
FAS40,0.1453444360333081,0.4910780669144981,9.395605995244767e-06,0.0005141690038670294,0.012773169425612333,0.005987418961616637,9.79241866523668e-06
FAS70,0.14307342922028765,0.4908955778520996,1.616850383862907e-05,0.0005084503467867527,0.012649007377801155,0.005983495115540251,1.6822794899567243e-05
FBPA,0.005299015897047691,0.42917478882391163,1.2213622963621477e-05,0.00015708127826845103,0.00046681400432819836,0.0028055159328683067,5.5922079443925624e-05
MYCOPP,0.05677517032551098,0.46253501400560226,0.0001019912678651672,0.0003143540387834942,0.0031308937490494636,0.005622088457366687,0.00012479265399815983
HADA13,0.32626797880393643,0.5716140199048031,7.856545839269888e-06,0.0009487618730358248,0.03831892947628811,0.006127978237655622,7.790707052147418e-06
KASB17,0.1468584405753217,0.48655616942909763,0.00011972977904492738,0.0005765079022052191,0.00881920360102196,0.005989039787913589,0.00012739838599575725
MMAA42,0.3474640423921272,0.5786246167323696,0.0012224657801585075,0.0011118256082694024,0.038543552086728446,0.006134950793711308,0.0012097560810809475
MYCO2,0.2331566994700984,0.5273453093812375,0.00011125794513184615,0.0007490808339417749,0.019713538285971135,0.006081920970984272,0.00011271410814601227
INHA18,0.23467070401211204,0.5279776179056754,1.8929590664900296e-05,0.0007446358880813363,0.019983423579183066,0.006082954979756914,1.8703705984774188e-05
INHA16,0.23467070401211204,0.5279776179056754,1.9047774012837018e-05,0.0007446399250003333,0.01998334180637684,0.00608295501570754,1.882352818010499e-05
INHA17,0.23467070401211204,0.5279776179056754,1.892959066490032e-05,0.0007446358881041495,0.01998342357884248,0.006082954979757368,1.8703705984774195e-05
FADE323,0.47464042392127176,0.6305489260143198,0.0019729615497645022,0.0014280527557177754,0.045028830007487086,0.006164276475599792,0.0019680269886626646
INHA15,0.23467070401211204,0.5279776179056754,1.9047774012837018e-05,0.0007446399250003338,0.019983341806376835,0.006082955015707657,1.882352818010499e-05
FADE325,0.47464042392127176,0.6305489260143198,0.0019720040478507493,0.001427936661230471,0.04502891204278872,0.006164276400214874,0.001967084852936562
INHA11,0.23467070401211204,0.5279776179056754,1.9047774012837018e-05,0.0007446399250003338,0.019983341806376835,0.006082955015707506,1.882352818010499e-05
HADA8,0.32626797880393643,0.5716140199048031,7.856545839269897e-06,0.0009487618730358248,0.03831892947628811,0.006127978237655545,7.790707052147426e-06
HADA9,0.32626797880393643,0.5716140199048031,7.856545839269895e-06,0.0009487618730358248,0.03831892947628811,0.0061279782376557155,7.790707052147426e-06
FABG21,0.2323996971990916,0.5271348762968875,1.6084004775602216e-05,0.0007385469774887647,0.019725798221407093,0.006081398222854472,1.5884673373460984e-05
FABG20,0.2323996971990916,0.5271348762968875,1.6084004775602216e-05,0.0007385470346724198,0.01972579798015975,0.006081398223140598,1.588467337346098e-05
MMAA41,0.34670704012112036,0.5783712784588442,0.0012159399763831018,0.0011097597959546217,0.03850337608783408,0.006134712393282876,0.0012032658083382644
FAS11,0.11203633610900833,0.4777576853526221,3.965466255247102e-06,0.00046166728978431576,0.006940776617824276,0.005913644339389017,4.028680854076549e-06
FAS10,0.1453444360333081,0.4910780669144981,9.46145285344866e-06,0.0005141696318661966,0.012773063737465944,0.005987419079101248,9.858912818809556e-06
FAS13,0.32626797880393643,0.5716140199048031,7.857777268917408e-06,0.0009487614908922819,0.038318938443737724,0.006127978235538458,7.791801107720739e-06
FAS12,0.2323996971990916,0.5271348762968875,1.691612837498627e-05,0.0007386730642480975,0.019721966674262886,0.006081397304394183,1.67090840187556e-05
FAS15,0.1453444360333081,0.4910780669144981,9.46145285344866e-06,0.0005141696318663565,0.012773063737466032,0.0059874190791013625,9.858912818809556e-06
FAS19,0.23542770628311885,0.5281887245101959,6.005949504031295e-05,0.0007486348318087304,0.019996613374921604,0.006083460803038737,6.039243908632746e-05
FAS18,0.32626797880393643,0.5716140199048031,7.855814174655228e-06,0.0009487665429606413,0.038318948897619505,0.0061279782480658075,7.789782142372342e-06
HADA18,0.32626797880393643,0.5716140199048031,7.856545839269895e-06,0.0009487618505294645,0.038318929809991784,0.006127978237617882,7.790707052147425e-06
TMMYCO,0.00757002271006813,0.4388704318936877,4.2538428311187175e-06,0.00015939385895002222,0.0005358478367702563,0.0034032671055415024,7.094386954408425e-06
MMAA31,0.028766086298258893,0.4548898071625344,1.3127817600836164e-07,0.0002942892118626872,0.001205991185176718,0.005101169680148519,1.3127817600836188e-07
FAS61,0.11203633610900833,0.4777576853526221,3.965466255247101e-06,0.0004616672884529139,0.006940776725176352,0.005913644339357609,4.028680854076549e-06
HADA17,0.32626797880393643,0.5716140199048031,7.856545839269895e-06,0.000948761861837206,0.03831892964313995,0.00612797823763676,7.790707052147426e-06
