,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,information_centrality,load_centrality
L2AADPt,0.0015267175572519084,0.38953315492120133,0.00152671755725191,0.00034189043886842654,9.792288537265167e-05,0.0006825188908655027,0.0015267175572519097
CYCLY1,0.34961832061068704,0.5806737588652482,0.0010578577084193927,0.0010943908527043839,0.038895856157165856,0.006291372301537014,0.0010314044697674223
NTRIRx,0.4801526717557252,0.6365403304178814,0.0008731898767499856,0.0013781534815007484,0.04753364882147291,0.006322420947988213,0.0008621639811192397
BO1,0.5610687022900763,0.6717948717948717,0.002119090337187245,0.0016488304250992247,0.050929615703920274,0.006334511017742768,0.002077829060814828
R05219,0.3526717557251908,0.5814469596094097,0.001647461362798822,0.0011591628533596994,0.038760444722317655,0.006292311964280119,0.0016216977730845463
BO3,0.5603053435114503,0.6714505381855459,0.0020945398232128337,0.001646177154016809,0.05091424404849208,0.0063344126596260025,0.0020520067069949156
BO2,0.5610687022900763,0.6717948717948717,0.002119090337187245,0.0016488304250992247,0.050929615703920274,0.006334511017742768,0.002077829060814828
BO5,0.5603053435114503,0.6714505381855459,0.0020945398232128337,0.001646177154016809,0.05091424404849208,0.006334412659625966,0.0020520067069949156
BO4,0.5603053435114503,0.6714505381855459,0.0020945398232128337,0.001646177154016809,0.05091424404849208,0.006334412659625976,0.0020520067069949156
BO7,0.5603053435114503,0.6714505381855459,0.0020945398232128337,0.001646177154016809,0.05091424404849208,0.006334412659625966,0.0020520067069949156
BO6,0.5603053435114503,0.6714505381855459,0.0020945398232128337,0.001646177154016809,0.05091424404849208,0.006334412659625948,0.0020520067069949156
FADD281,0.2198473282442748,0.5357873210633947,0.00013706458518856986,0.0007440623791200722,0.019047087178081522,0.00622489647815562,0.00013788151879786777
FADD283,0.10381679389312977,0.4741223307998552,0.00011007806239555317,0.0004307901654908928,0.007563735284420461,0.006032990145263562,0.00012430262878746994
PDIMA,0.029770992366412213,0.4553354188390685,3.1917784014834146e-05,0.0003583431822780218,0.0011453253385797003,0.0052275321406773274,7.023066765298009e-05
HIPB,0.2381679389312977,0.5290791599353797,2.9323818092937574e-05,0.000756366535920741,0.020291915845090783,0.006238406087659182,3.0095179871798743e-05
HEXTT,0.083206106870229,0.4793267471642883,3.886227397473831e-05,0.000378381419892048,0.00615801750240221,0.005946575053635575,4.239144284292422e-05
INHA18,0.23740458015267174,0.5288655631812677,1.5105509320476168e-05,0.0007520082156332198,0.020265727571516005,0.00623788032046094,1.5045174217226109e-05
HIPA,0.2381679389312977,0.5290791599353797,1.4955221821045632e-05,0.0007535892513176595,0.020364695045056717,0.00623841275845145,1.4913158131917448e-05
INHA16,0.23740458015267174,0.5288655631812677,1.5223183538952958e-05,0.0007520123933032016,0.02026564322554986,0.006237880358580875,1.5164306864461786e-05
INHA17,0.23740458015267174,0.5288655631812677,1.5105509320476165e-05,0.0007520082156568994,0.020265727571159072,0.006237880320461117,1.5045174217226112e-05
