,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,load_centrality
PPDIMBT,0.0015267175572519084,8.473452835331306e-30,0.0,0.00016124661271297078,1.3015549800137968e-07
FADD3420,0.10458015267175573,8.473452835331306e-30,3.989813275943205e+57,0.0011951542951211158,8.162012735968041e-06
HSDy,0.11068702290076336,8.473452835331306e-30,1.3457302410184684e+73,0.0007988839036346132,6.135757784890745e-05
SER_AL,0.017557251908396947,8.473452835331306e-30,3.076287030649315e-08,0.0001932769747036361,6.11932843425088e-05
THRS,0.12900763358778625,8.473452835331306e-30,9.569600469266949e+66,0.00048092373933222285,4.266842860792947e-05
HSK,0.025190839694656488,8.473452835331306e-30,6.656744238733323e+38,0.0004264269309766086,1.822296647715e-05
MMM2,0.0053435114503816794,8.473452835331306e-30,0.00015700136838691598,0.00027728805204052325,0.00016629178586636092
PC6YM,0.010687022900763359,8.549790248262208e-30,0.0006496422302439365,0.00018896084036783246,0.0006496422302439365
PPSD3,0.36717557251908395,8.473452835331306e-30,3.280886475576537e+84,0.0007675528613438853,0.00024879801335299313
PHBADB,0.003816793893129771,8.549790248262208e-30,0.0,0.0002812968951896892,0.0
PPSD1,0.36717557251908395,8.473452835331306e-30,3.280886475576537e+84,0.000767553320549399,0.00024879801335299313
PHBADC,0.00916030534351145,8.549790248262208e-30,0.0,0.00043374031850358766,0.0
PAPA1,0.06183206106870229,8.473452835331306e-30,38308847870325.41,0.0001559586356469072,7.876925777790767e-05
FAS70,0.09694656488549618,8.473452835331306e-30,4.361770018670364e+79,0.0009628998407399832,6.900691131263904e-05
FBPA,0.0022900763358778627,8.549790248262208e-30,0.0,0.0001631805603241005,0.0
GLCGSD,0.21221374045801528,8.473452835331306e-30,0.0019928681076059403,0.0003452196598796209,0.002038384177800919
CITabc,0.1450381679389313,8.473452835331306e-30,6.324610344595028e+82,0.0007597566295361017,0.00011397138751100143
ECHA193,0.0,0.0,0.0,0.00013375100571644895,0.0
GALUi,0.006870229007633588,8.473452835331306e-30,7.071285043434792e+41,0.0006351731987420668,0.0020705551639492
PHBADA,0.003816793893129771,8.549790248262208e-30,0.0,0.0002905422505716703,0.0
4ABUTabc,0.1435114503816794,8.473452835331306e-30,9.281067921601505e+84,0.000701432669777697,2.8857067554804658e-05
PROabc_rev,0.1450381679389313,8.473452835331306e-30,7.600556681828098e+66,0.0007114250384858944,0.0006737790781240051
GSEALD,0.33053435114503815,8.473452835331306e-30,5.695347527733105e+73,0.0011055345915286085,0.000869120653975556
GALKr,0.024427480916030534,8.549790248262208e-30,0.0,0.0004002606132044596,0.0
ADEt2,0.15648854961832062,8.473452835331306e-30,0.000650225392030511,0.002158088966645249,0.0008380739425029587
G3PD1ir,0.22442748091603054,8.473452835331306e-30,5.069856844381563e+90,0.0008234724077854896,0.0037716414405991666
GHMT2r,0.22213740458015266,8.473452835331306e-30,3.4043071203270496e+16,0.0004417538689919636,0.0008224394593744365
DB4PS,0.004580152671755725,8.473452835331306e-30,0.0011791959486318452,0.00020430534294979893,0.0012469437003547975
GTPCII2,0.11755725190839694,8.473452835331306e-30,1.970000475061122e+66,0.0006753184059173818,1.777858193759835e-05
GCALDD,0.31755725190839695,8.473452835331306e-30,8.407642848674039e+114,0.0012466637228783412,0.0021105128926890964
TRDR,0.11526717557251909,8.473452835331306e-30,3.200656870707039e+64,0.0008103465396985277,0.00010073484588202285
PPSC4,0.36717557251908395,8.473452835331306e-30,4.2222549222611895e+71,0.0008418926611023601,0.0002147111903428238
BGLA,0.11603053435114503,8.549790248262208e-30,0.0,0.00047953161421780417,0.0
AGPGLCN,0.004580152671755725,8.473452835331306e-30,0.0,0.0005687215769217356,1.7462061353400865e-05
XYLK,0.0,0.0,0.0,0.00013375100571644895,0.0
MYCOPP,0.0183206106870229,8.473452835331306e-30,13839405.885538949,0.0002940800319177025,4.972213332617093e-05
PUNP2,0.1435114503816794,8.473452835331306e-30,4.165263566303024e+56,0.005571934741371165,0.0007977296255699617
NDPK6,0.025190839694656488,8.473452835331306e-30,5.339945338107968e+37,0.0004024572559643961,1.801935867556878e-05
ALCD2yi,0.3114503816793893,8.473452835331306e-30,3.1257567668808237e+94,0.00226223465861795,0.0014203527224974043
ALCD19y,0.2198473282442748,8.473452835331306e-30,2.4206298433664924e+67,0.0019121443667277705,0.0001888325306515151
HADA13,0.20916030534351146,8.473452835331306e-30,0.0,0.00016165680143636225,0.00015564018132119715
UAGPT3,0.004580152671755725,8.473452835331306e-30,0.001257108077101572,0.00022129115047564644,0.0012888134911344168
Maintenance,0.1412213740458015,8.473452835331306e-30,7.601497961063595e+66,0.0006801842104118708,2.3167615523792783e-05
FADE8,0.383969465648855,8.473452835331306e-30,8.297036730333158e+114,0.0017422083867243098,0.00022720267197363098
VALt2r,0.14427480916030533,8.473452835331306e-30,1.5201113363656192e+67,0.000700868293826556,2.3765284725550998e-05
DADNt2,0.15725190839694655,8.473452835331306e-30,0.000650225392030511,0.00035245135052800624,0.0008380739425029587
NP1,0.10229007633587786,8.549790248262208e-30,0.0,0.0008525180376748951,0.0
KASB17,0.022900763358778626,8.473452835331306e-30,0.0,0.0001511849711803708,2.6896942628632324e-05
NADS2,0.19923664122137405,8.473452835331306e-30,6.601810166767776e+68,0.0008694510826694764,0.00013151086850427346
FMNRx,0.1450381679389313,8.473452835331306e-30,4.383327509510342e+88,0.0008435428105888741,0.000669664793762188
MMAA42,0.11450381679389313,8.473452835331306e-30,6.852815285661433e+55,0.0004952528402926332,2.0991748100718755e-05
