Rv0684	GO:0003924;GO:0005737;GO:0003746;GO:0006414;GO:0005525
Rv0685	GO:0003924;GO:0005737;GO:0003746;GO:0006414;GO:0005525
Rv0693	GO:0051536;GO:0003824
Rv0697	GO:0006066;GO:0055114;GO:0016614;GO:0050660
Rv0701	GO:0005840;GO:0003735;GO:0006412;GO:0019843
Rv0702	GO:0005840;GO:0003735;GO:0006412;GO:0019843
Rv0703	GO:0019843;GO:0005840;GO:0003735;GO:0006412;GO:0000166
Rv0704	GO:0019843;GO:0003735;GO:0016740;GO:0006412;GO:0015934
Rv0707	GO:0015935;GO:0003735;GO:0006412;GO:0019843
Rv0708	GO:0005840;GO:0003735;GO:0000049;GO:0006412;GO:0019843
Rv0709	GO:0003735;GO:0006412;GO:0005840
Rv0710	GO:0005840;GO:0003735;GO:0006412;GO:0019843
Rv2004c	GO:0005618;GO:0001906;GO:0005576;GO:0005524
Rv0717	GO:0019843;GO:0005840;GO:0003735;GO:0006412;GO:0046872
Rv0715	GO:0005840;GO:0003735;GO:0006412;GO:0019843
Rv0716	GO:0005840;GO:0003735;GO:0000049;GO:0006412;GO:0019843
Rv0719	GO:0005840;GO:0003735;GO:0006412;GO:0019843
Rv0720	GO:0005840;GO:0003735;GO:0006412;GO:0019843
Rv2005c	GO:0006950
Rv0723	GO:0019843;GO:0003735;GO:0006412;GO:0015934
Rv0722	GO:0003735;GO:0006412;GO:0015934
Rv0725c	GO:0008168
Rv0726c	GO:0008168
Rv0727c	GO:0046872;GO:0008738
Rv0728c	GO:0055114;GO:0004617;GO:0051287
Rv0731c	GO:0008168
Rv0735	GO:0016987;GO:0003700;GO:0006352;GO:0006355
Rv2058c	GO:0003735;GO:0006412;GO:0005840
Rv0733	GO:0004017;GO:0005737;GO:0009165;GO:0005524
Rv0734	GO:0009987;GO:0046872;GO:0008235;GO:0006508;GO:0004177
Rv0737	GO:0006355;GO:0006350;GO:0003700;GO:0005622
Rv1421	GO:0005525;GO:0005524
Rv2273	GO:0005886;GO:0016021
Rv1270c	GO:0005886
Rv2056c	GO:0005840;GO:0003735;GO:0006412;GO:0019843
Rv0748	GO:0006355;GO:0003677
Rv0752c	GO:0003995;GO:0055114;GO:0050660
Rv0770	GO:0050662;GO:0055114;GO:0006098;GO:0004616;GO:0006573;GO:0008442
Rv0755A	GO:0004803;GO:0006313;GO:0003677
Rv0759c	GO:0003824
Rv0760c	GO:0016853;GO:0006810;GO:0005622
Rv1120c	GO:0016849;GO:0009190
Rv0765c	GO:0055114;GO:0016491
Rv0766c	GO:0020037;GO:0004497;GO:0055114;GO:0009055
Rv0767c	GO:0006350;GO:0003700;GO:0006355
Rv0771	GO:0047575
Rv0773c	GO:0003840;GO:0016787;GO:0008415
Rv0775	GO:0006350;GO:0003700;GO:0006355
Rv2073c	GO:0055114;GO:0016491
Rv0778	GO:0020037;GO:0004497;GO:0055114;GO:0009055
Rv0779c	GO:0016021
Rv0795	GO:0004803;GO:0006313;GO:0003677
Rv0818	GO:0005622;GO:0006355;GO:0000156;GO:0000160;GO:0003677
Rv0782	GO:0004252;GO:0006508
Rv0788	GO:0005524;GO:0005737;GO:0006541;GO:0004642;GO:0006189
Rv0791c	GO:0016491;GO:0055114
Rv0792c	GO:0006355;GO:0006350;GO:0003700;GO:0005622
Rv0793	GO:0005737;GO:0016491;GO:0017000
Rv0797	GO:0004803;GO:0006313;GO:0003677
Rv0798c	GO:0008233;GO:0042742
Rv0800	GO:0008237;GO:0006508;GO:0005773;GO:0008270;GO:0004177
Rv0802c	GO:0008152;GO:0008080
Rv0804	GO:0016020
Rv0805	GO:0016787
Rv0823c	GO:0055114;GO:0017150;GO:0008033;GO:0050660
Rv0813c	GO:0006810
Rv0824c	GO:0006633;GO:0055114;GO:0046914;GO:0045300
Rv0841	GO:0016021
Rv1153c	GO:0008168
Rv1255c	GO:0006350;GO:0003700;GO:0006355
Rv0809	GO:0005524;GO:0005737;GO:0004641;GO:0006189
Rv0811c	GO:0005737;GO:0006546;GO:0004047
Rv0812	GO:0008483;GO:0008152
Rv0819	GO:0008152;GO:0008080
Rv0820	GO:0005315;GO:0015415;GO:0006817;GO:0005886;GO:0005524
Rv0825c	GO:0006350;GO:0003700;GO:0006355
Rv0827c	GO:0006355;GO:0006350;GO:0003700;GO:0005622
Rv0828c	GO:0008270;GO:0016787
Rv0830	GO:0008168
Rv0843	GO:0016624;GO:0055114
Rv1062	GO:0006629
Rv0838	GO:0016805;GO:0008237;GO:0006508;GO:0005618
Rv0839	GO:0008168;GO:0008152
Rv0840c	GO:0005737;GO:0006508;GO:0004177
Rv0842	GO:0055085
Rv0846c	GO:0055114;GO:0016491;GO:0005507
Rv0852	GO:0016874
Rv0849	GO:0005886;GO:0055085;GO:0016021
Rv0853c	GO:0000287;GO:0030976;GO:0016740;GO:0016831
Rv0874c	GO:0005886;GO:0016021
Rv0858c	GO:0009058;GO:0030170;GO:0008483;GO:0016847
Rv1024	GO:0051301;GO:0016021;GO:0005886;GO:0007049
Rv1268c	GO:0006508;GO:0004197
Rv0871	GO:0005737;GO:0006355;GO:0003677
Rv1020	GO:0008026;GO:0006281;GO:0003684;GO:0006355;GO:0003700;GO:0005524
Rv2083	GO:0005886;GO:0016021
Rv0876c	GO:0005886;GO:0055085;GO:0016021
Rv0880	GO:0006355;GO:0006350;GO:0003700;GO:0005622
Rv0867c	GO:0005576
Rv0868c	GO:0006790
Rv0873	GO:0003995;GO:0055114;GO:0050660
Rv0879c	GO:0005886;GO:0016021
Rv1277	GO:0004527
Rv0882	GO:0005886;GO:0016021
Rv0885	GO:0005886;GO:0016021
Rv0886	GO:0009055;GO:0022900;GO:0004324;GO:0046872;GO:0006810;GO:0051539
Rv0888	GO:0005886;GO:0016021
Rv0890c	GO:0005622;GO:0006355;GO:0043565;GO:0006350;GO:0003700;GO:0000156;GO:0000160;GO:0006952
Rv0891c	GO:0016849;GO:0009190
Rv0892	GO:0050661;GO:0004499;GO:0055114;GO:0050660
Rv0893c	GO:0008168
Rv0912	GO:0016021
Rv0895	GO:0006071;GO:0008610;GO:0004144
Rv0896	GO:0004108;GO:0005737;GO:0006099;GO:0044262
Rv0897c	GO:0005886;GO:0016021
Rv0903c	GO:0005737;GO:0006355;GO:0006350;GO:0000156;GO:0000160;GO:0003677
Rv0913c	GO:0016702;GO:0055114
Rv0905	GO:0006631;GO:0004300
Rv0926c	GO:0008839;GO:0009089;GO:0055114
Rv0927c	GO:0055114;GO:0016491
Rv0928	GO:0006817;GO:0005886;GO:0006950;GO:0005315
Rv0944	GO:0006289;GO:0008534;GO:0008270;GO:0003684
Rv0930	GO:0016021;GO:0006817;GO:0005886;GO:0005315
Rv0931c	GO:0006468;GO:0004674;GO:0005524
Rv0933	GO:0005315;GO:0015415;GO:0006817;GO:0005886;GO:0005524
Rv0935	GO:0016021;GO:0006817;GO:0005886;GO:0005315
Rv0936	GO:0016021;GO:0006817;GO:0005886;GO:0005315
Rv0937c	GO:0003677;GO:0006303;GO:0004003
Rv0967	GO:0005737;GO:0046872;GO:0045449;GO:0006350;GO:0003677
Rv0939	GO:0016853;GO:0008152;GO:0016787
Rv0996	GO:0016021
Rv0948c	GO:0046417
Rv0950c	GO:0006508;GO:0004222
Rv0952	GO:0003878;GO:0004775;GO:0006099;GO:0005524
Rv0954	GO:0005886;GO:0016021
Rv0955	GO:0005886;GO:0016021
Rv0958	GO:0005622;GO:0016829;GO:0006355;GO:0008134;GO:0005524
Rv0961	GO:0005886;GO:0016021
Rv0962c	GO:0005886
Rv0970	GO:0005886;GO:0016021
Rv0971c	GO:0016853;GO:0008152;GO:0004300
Rv0972c	GO:0003995;GO:0055114;GO:0050660
Rv0974c	GO:0016874
Rv0979A	GO:0003735;GO:0006412;GO:0015934
Rv0992c	GO:0005524;GO:0009396;GO:0030272
Rv0983	GO:0006508;GO:0004252;GO:0005515
Rv0984	GO:0016829;GO:0006777
Rv1005c	GO:0016829;GO:0009396
