,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,load_centrality
HISTP,0.14227970897332254,1.2181554096671296e-29,3.0851180765805007e+60,0.0005945832686984037,0.035970852347942804,7.71652414139434e-06
HSTPT,0.04042037186742118,1.2181554096671296e-29,1.693587941305362e+94,0.0003917479952034979,5.64982210243711e-31,2.5517146353567875e-05
IG3PS,0.232821341956346,1.2181554096671296e-29,3.7035057861589053e+77,0.0006617339244389131,5.2930373224154866e-33,0.0024545717930881954
IGPDH,0.20937752627324172,1.2181554096671296e-29,0.0,0.00012924559491260496,3.262130278616514e-63,0.00012136951436292887
PRAIi,0.0016168148746968471,1.2181554096671296e-29,0.0,0.00013821937528876567,8.081070166312374e-65,3.4854966413294524e-07
PRAMPC,0.12853678253839934,1.2181554096671296e-29,7977.150571484338,0.0005768706371001707,0.035970852347942804,0.000765240049917197
PRATPP,0.3451899757477769,1.2181554096671296e-29,1.8188797900144954e+63,0.0006018382802322809,0.035970852347942804,5.59358835677417e-05
PRMICI,0.0016168148746968471,1.2181554096671296e-29,0.0007456185101757305,0.0006180436084750715,2.2171262826820117e-32,0.0008125324441282521
MI1PP,0.1438965238480194,1.2181554096671296e-29,3.6512450108849304e+60,0.0007344072323443747,0.035970852347942804,0.0008401386038929329
MI1PS,0.0032336297493936943,1.2181554096671296e-29,0.0,0.0001856385947330172,3.580009811089128e-34,3.696869428828457e-07
MI3PP,0.14308811641067096,1.2181554096671296e-29,3.6512450108849304e+60,0.0006537560599318161,0.035970852347942804,9.452009371720236e-05
MI3PS,0.0040420371867421175,1.2181554096671296e-29,0.0,0.0001856385947330172,3.580009811089128e-34,4.981522304469734e-07
NAGINSP,0.3160873080032336,1.2181554096671296e-29,1.9100744039603846e+61,0.0012584722417252232,0.04259525227038527,0.0007542499019792033
DM_ergoth_c,0.0008084074373484236,1.2202368367283465e-29,0.0,0.0001325983478038137,5.2530454291052024e-92,0.0
DM_tbsinol_c,0.0008084074373484236,1.2202368367283465e-29,0.0,0.0001795134890717049,4.227044501539756e-32,0.0
DM_isotbsinol_13S_c,0.0008084074373484236,1.2202368367283465e-29,0.0,0.0001795134890717049,4.227044501539756e-32,0.0
DM_isotbsinol_13R_c,0.0008084074373484236,1.2202368367283465e-29,0.0,0.0001795134890717049,4.227044501539756e-32,0.0
DM_psd5p_c,0.0016168148746968471,1.2181554096671296e-29,0.0,0.00012973089985930756,1.0049591094333217e-31,3.4281310812677334e-07
DM_cpppg1_c,0.0,0.0,0.0,0.00012726831333439013,0.0,0.0
DM_scys__L_c,0.0008084074373484236,1.2202368367283465e-29,0.0,0.00018071553908543758,6.624139616727616e-33,0.0
DM_gmhep1p_c,0.0008084074373484236,1.2202368367283465e-29,0.0,0.00015451018328856324,8.909946743416316e-33,0.0
LAT,0.0,0.0,0.0,0.00012726831333439013,0.0,0.0
TMHAS5,0.2134195634599838,1.2316904697745422e-29,0.0,0.000198542654790905,1.924073025737247e-29,0.0
TMHAS6,0.2134195634599838,1.2316904697745422e-29,0.0,0.000198542654790905,1.9254400227335154e-29,0.0
FADE233,0.007275666936135812,1.2181554096671296e-29,31773.690243579298,0.0008621865505722664,1.0508595833480521e-30,1.195479707780863e-05
BKDC,0.3678253839935327,1.2181554096671296e-29,7.312694102710214e+47,0.001570902940624148,0.0498725312044588,1.4636786244407412e-05
BKDA2,0.01131770412287793,1.2181554096671296e-29,0.0,0.00015418160385894774,7.915266031648076e-35,5.848258371515088e-06
PKS2,0.5885206143896523,1.2181554096671296e-29,2.7063586175575003e+91,0.0012048990910729532,0.04259525227038527,0.0016887099392363578
